Calendar_Year,Calendar_Month,Date,Date_Value,Mode,Agency
2019,1,Jan-19,2019.08,Bus,SEPTA
2019,1,Jan-19,2019.08,CCT,SEPTA
2019,1,Jan-19,2019.08,Heavy Rail,SEPTA
2019,1,Jan-19,2019.08,Regional Rail,SEPTA
2019,1,Jan-19,2019.08,Trackless Trolley,SEPTA
2019,1,Jan-19,2019.08,Trolley,SEPTA
2019,2,Feb-19,2019.17,Bus,SEPTA
2019,2,Feb-19,2019.17,CCT,SEPTA
2019,2,Feb-19,2019.17,Heavy Rail,SEPTA
2019,2,Feb-19,2019.17,Regional Rail,SEPTA
2019,2,Feb-19,2019.17,Trackless Trolley,SEPTA
2019,2,Feb-19,2019.17,Trolley,SEPTA
2019,3,Mar-19,2019.25,Bus,SEPTA
2019,3,Mar-19,2019.25,CCT,SEPTA
2019,3,Mar-19,2019.25,Heavy Rail,SEPTA
2019,3,Mar-19,2019.25,Regional Rail,SEPTA
2019,3,Mar-19,2019.25,Trackless Trolley,SEPTA
2019,3,Mar-19,2019.25,Trolley,SEPTA
2019,4,Apr-19,2019.33,Bus,SEPTA
2019,4,Apr-19,2019.33,CCT,SEPTA
2019,4,Apr-19,2019.33,Heavy Rail,SEPTA
2019,4,Apr-19,2019.33,Regional Rail,SEPTA
2019,4,Apr-19,2019.33,Trackless Trolley,SEPTA
2019,4,Apr-19,2019.33,Trolley,SEPTA
2019,5,May-19,2019.42,Bus,SEPTA
2019,5,May-19,2019.42,CCT,SEPTA
2019,5,May-19,2019.42,Heavy Rail,SEPTA
2019,5,May-19,2019.42,Regional Rail,SEPTA
2019,5,May-19,2019.42,Trackless Trolley,SEPTA
2019,5,May-19,2019.42,Trolley,SEPTA
2019,6,Jun-19,2019.50,Bus,SEPTA
2019,6,Jun-19,2019.50,CCT,SEPTA
2019,6,Jun-19,2019.50,Heavy Rail,SEPTA
2019,6,Jun-19,2019.50,Regional Rail,SEPTA
2019,6,Jun-19,2019.50,Trackless Trolley,SEPTA
2019,6,Jun-19,2019.50,Trolley,SEPTA
2019,7,Jul-19,2019.58,Bus,SEPTA
2019,7,Jul-19,2019.58,CCT,SEPTA
2019,7,Jul-19,2019.58,Heavy Rail,SEPTA
2019,7,Jul-19,2019.58,Regional Rail,SEPTA
2019,7,Jul-19,2019.58,Trackless Trolley,SEPTA
2019,7,Jul-19,2019.58,Trolley,SEPTA
2019,8,Aug-19,2019.67,Bus,SEPTA
2019,8,Aug-19,2019.67,CCT,SEPTA
2019,8,Aug-19,2019.67,Heavy Rail,SEPTA
2019,8,Aug-19,2019.67,Regional Rail,SEPTA
2019,8,Aug-19,2019.67,Trackless Trolley,SEPTA
2019,8,Aug-19,2019.67,Trolley,SEPTA
2019,9,Sep-19,2019.75,Bus,SEPTA
2019,9,Sep-19,2019.75,CCT,SEPTA
2019,9,Sep-19,2019.75,Heavy Rail,SEPTA
2019,9,Sep-19,2019.75,Regional Rail,SEPTA
2019,9,Sep-19,2019.75,Trackless Trolley,SEPTA
2019,9,Sep-19,2019.75,Trolley,SEPTA
2019,10,Oct-19,2019.83,Bus,SEPTA
2019,10,Oct-19,2019.83,CCT,SEPTA
2019,10,Oct-19,2019.83,Heavy Rail,SEPTA
2019,10,Oct-19,2019.83,Regional Rail,SEPTA
2019,10,Oct-19,2019.83,Trackless Trolley,SEPTA
2019,10,Oct-19,2019.83,Trolley,SEPTA
2019,11,Nov-19,2019.92,Bus,SEPTA
2019,11,Nov-19,2019.92,CCT,SEPTA
2019,11,Nov-19,2019.92,Heavy Rail,SEPTA
2019,11,Nov-19,2019.92,Regional Rail,SEPTA
2019,11,Nov-19,2019.92,Trackless Trolley,SEPTA
2019,11,Nov-19,2019.92,Trolley,SEPTA
2019,12,Dec-19,2020.00,Bus,SEPTA
2019,12,Dec-19,2020.00,CCT,SEPTA
2019,12,Dec-19,2020.00,Heavy Rail,SEPTA
2019,12,Dec-19,2020.00,Regional Rail,SEPTA
2019,12,Dec-19,2020.00,Trackless Trolley,SEPTA
2019,12,Dec-19,2020.00,Trolley,SEPTA
2020,1,Jan-20,2020.08,Bus,SEPTA
2020,1,Jan-20,2020.08,CCT,SEPTA
2020,1,Jan-20,2020.08,Heavy Rail,SEPTA
2020,1,Jan-20,2020.08,Regional Rail,SEPTA
2020,1,Jan-20,2020.08,Trackless Trolley,SEPTA
2020,1,Jan-20,2020.08,Trolley,SEPTA
2020,2,Feb-20,2020.17,Bus,SEPTA
2020,2,Feb-20,2020.17,CCT,SEPTA
2020,2,Feb-20,2020.17,Heavy Rail,SEPTA
2020,2,Feb-20,2020.17,Regional Rail,SEPTA
2020,2,Feb-20,2020.17,Trackless Trolley,SEPTA
2020,2,Feb-20,2020.17,Trolley,SEPTA
2020,3,Mar-20,2020.25,Bus,SEPTA
2020,3,Mar-20,2020.25,CCT,SEPTA
2020,3,Mar-20,2020.25,Heavy Rail,SEPTA
2020,3,Mar-20,2020.25,Regional Rail,SEPTA
2020,3,Mar-20,2020.25,Trackless Trolley,SEPTA
2020,3,Mar-20,2020.25,Trolley,SEPTA
2020,4,Apr-20,2020.33,Bus,SEPTA
2020,4,Apr-20,2020.33,CCT,SEPTA
2020,4,Apr-20,2020.33,Heavy Rail,SEPTA
2020,4,Apr-20,2020.33,Regional Rail,SEPTA
2020,4,Apr-20,2020.33,Trackless Trolley,SEPTA
2020,4,Apr-20,2020.33,Trolley,SEPTA
2020,5,May-20,2020.42,Bus,SEPTA
2020,5,May-20,2020.42,CCT,SEPTA
2020,5,May-20,2020.42,Heavy Rail,SEPTA
2020,5,May-20,2020.42,Regional Rail,SEPTA
2020,5,May-20,2020.42,Trackless Trolley,SEPTA
2020,5,May-20,2020.42,Trolley,SEPTA
2020,6,Jun-20,2020.50,Bus,SEPTA
2020,6,Jun-20,2020.50,CCT,SEPTA
2020,6,Jun-20,2020.50,Heavy Rail,SEPTA
2020,6,Jun-20,2020.50,Regional Rail,SEPTA
2020,6,Jun-20,2020.50,Trackless Trolley,SEPTA
2020,6,Jun-20,2020.50,Trolley,SEPTA
2020,7,Jul-20,2020.58,Bus,SEPTA
2020,7,Jul-20,2020.58,CCT,SEPTA
2020,7,Jul-20,2020.58,Heavy Rail,SEPTA
2020,7,Jul-20,2020.58,Regional Rail,SEPTA
2020,7,Jul-20,2020.58,Trackless Trolley,SEPTA
2020,7,Jul-20,2020.58,Trolley,SEPTA
2020,8,Aug-20,2020.67,Bus,SEPTA
2020,8,Aug-20,2020.67,CCT,SEPTA
2020,8,Aug-20,2020.67,Heavy Rail,SEPTA
2020,8,Aug-20,2020.67,Regional Rail,SEPTA
2020,8,Aug-20,2020.67,Trackless Trolley,SEPTA
2020,8,Aug-20,2020.67,Trolley,SEPTA
2020,9,Sep-20,2020.75,Bus,SEPTA
2020,9,Sep-20,2020.75,CCT,SEPTA
2020,9,Sep-20,2020.75,Heavy Rail,SEPTA
2020,9,Sep-20,2020.75,Regional Rail,SEPTA
2020,9,Sep-20,2020.75,Trackless Trolley,SEPTA
2020,9,Sep-20,2020.75,Trolley,SEPTA
2020,10,Oct-20,2020.83,Bus,SEPTA
2020,10,Oct-20,2020.83,CCT,SEPTA
2020,10,Oct-20,2020.83,Heavy Rail,SEPTA
2020,10,Oct-20,2020.83,Regional Rail,SEPTA
2020,10,Oct-20,2020.83,Trackless Trolley,SEPTA
2020,10,Oct-20,2020.83,Trolley,SEPTA
2020,11,Nov-20,2020.92,Bus,SEPTA
2020,11,Nov-20,2020.92,CCT,SEPTA
2020,11,Nov-20,2020.92,Heavy Rail,SEPTA
2020,11,Nov-20,2020.92,Regional Rail,SEPTA
2020,11,Nov-20,2020.92,Trackless Trolley,SEPTA
2020,11,Nov-20,2020.92,Trolley,SEPTA
2020,12,Dec-20,2021.00,Bus,SEPTA
2020,12,Dec-20,2021.00,CCT,SEPTA
2020,12,Dec-20,2021.00,Heavy Rail,SEPTA
2020,12,Dec-20,2021.00,Regional Rail,SEPTA
2020,12,Dec-20,2021.00,Trackless Trolley,SEPTA
2020,12,Dec-20,2021.00,Trolley,SEPTA
2021,1,Jan-21,2021.08,Bus,SEPTA
2021,1,Jan-21,2021.08,CCT,SEPTA
2021,1,Jan-21,2021.08,Heavy Rail,SEPTA
2021,1,Jan-21,2021.08,Regional Rail,SEPTA
2021,1,Jan-21,2021.08,Trackless Trolley,SEPTA
2021,1,Jan-21,2021.08,Trolley,SEPTA
2021,2,Feb-21,2021.17,Bus,SEPTA
2021,2,Feb-21,2021.17,CCT,SEPTA
2021,2,Feb-21,2021.17,Heavy Rail,SEPTA
2021,2,Feb-21,2021.17,Regional Rail,SEPTA
2021,2,Feb-21,2021.17,Trackless Trolley,SEPTA
2021,2,Feb-21,2021.17,Trolley,SEPTA
2021,3,Mar-21,2021.25,Bus,SEPTA
2021,3,Mar-21,2021.25,CCT,SEPTA
2021,3,Mar-21,2021.25,Heavy Rail,SEPTA
2021,3,Mar-21,2021.25,Regional Rail,SEPTA
2021,3,Mar-21,2021.25,Trackless Trolley,SEPTA
2021,3,Mar-21,2021.25,Trolley,SEPTA
2021,4,Apr-21,2021.33,Bus,SEPTA
2021,4,Apr-21,2021.33,CCT,SEPTA
2021,4,Apr-21,2021.33,Heavy Rail,SEPTA
2021,4,Apr-21,2021.33,Regional Rail,SEPTA
2021,4,Apr-21,2021.33,Trackless Trolley,SEPTA
2021,4,Apr-21,2021.33,Trolley,SEPTA
2021,5,May-21,2021.42,Bus,SEPTA
2021,5,May-21,2021.42,CCT,SEPTA
2021,5,May-21,2021.42,Heavy Rail,SEPTA
2021,5,May-21,2021.42,Regional Rail,SEPTA
2021,5,May-21,2021.42,Trackless Trolley,SEPTA
2021,5,May-21,2021.42,Trolley,SEPTA
2021,6,Jun-21,2021.50,Bus,SEPTA
2021,6,Jun-21,2021.50,CCT,SEPTA
2021,6,Jun-21,2021.50,Heavy Rail,SEPTA
2021,6,Jun-21,2021.50,Regional Rail,SEPTA
2021,6,Jun-21,2021.50,Trackless Trolley,SEPTA
2021,6,Jun-21,2021.50,Trolley,SEPTA
2021,7,Jul-21,2021.58,Bus,SEPTA
2021,7,Jul-21,2021.58,CCT,SEPTA
2021,7,Jul-21,2021.58,Heavy Rail,SEPTA
2021,7,Jul-21,2021.58,Regional Rail,SEPTA
2021,7,Jul-21,2021.58,Trackless Trolley,SEPTA
2021,7,Jul-21,2021.58,Trolley,SEPTA
2021,8,Aug-21,2021.67,Bus,SEPTA
2021,8,Aug-21,2021.67,CCT,SEPTA
2021,8,Aug-21,2021.67,Heavy Rail,SEPTA
2021,8,Aug-21,2021.67,Regional Rail,SEPTA
2021,8,Aug-21,2021.67,Trackless Trolley,SEPTA
2021,8,Aug-21,2021.67,Trolley,SEPTA
2021,9,Sep-21,2021.75,Bus,SEPTA
2021,9,Sep-21,2021.75,CCT,SEPTA
2021,9,Sep-21,2021.75,Heavy Rail,SEPTA
2021,9,Sep-21,2021.75,Regional Rail,SEPTA
2021,9,Sep-21,2021.75,Trackless Trolley,SEPTA
2021,9,Sep-21,2021.75,Trolley,SEPTA
2021,10,Oct-21,2021.83,Bus,SEPTA
2021,10,Oct-21,2021.83,CCT,SEPTA
2021,10,Oct-21,2021.83,Heavy Rail,SEPTA
2021,10,Oct-21,2021.83,Regional Rail,SEPTA
2021,10,Oct-21,2021.83,Trackless Trolley,SEPTA
2021,10,Oct-21,2021.83,Trolley,SEPTA
2021,11,Nov-21,2021.92,Bus,SEPTA
2021,11,Nov-21,2021.92,CCT,SEPTA
2021,11,Nov-21,2021.92,Heavy Rail,SEPTA
2021,11,Nov-21,2021.92,Regional Rail,SEPTA
2021,11,Nov-21,2021.92,Trackless Trolley,SEPTA
2021,11,Nov-21,2021.92,Trolley,SEPTA
2021,12,Dec-21,2022.00,Bus,SEPTA
2021,12,Dec-21,2022.00,CCT,SEPTA
2021,12,Dec-21,2022.00,Heavy Rail,SEPTA
2021,12,Dec-21,2022.00,Regional Rail,SEPTA
2021,12,Dec-21,2022.00,Trackless Trolley,SEPTA
2021,12,Dec-21,2022.00,Trolley,SEPTA
2022,1,Jan-22,2022.08,Bus,SEPTA
2022,1,Jan-22,2022.08,CCT,SEPTA
2022,1,Jan-22,2022.08,Heavy Rail,SEPTA
2022,1,Jan-22,2022.08,Regional Rail,SEPTA
2022,1,Jan-22,2022.08,Trackless Trolley,SEPTA
2022,1,Jan-22,2022.08,Trolley,SEPTA
2022,2,Feb-22,2022.17,Bus,SEPTA
2022,2,Feb-22,2022.17,CCT,SEPTA
2022,2,Feb-22,2022.17,Heavy Rail,SEPTA
2022,2,Feb-22,2022.17,Regional Rail,SEPTA
2022,2,Feb-22,2022.17,Trackless Trolley,SEPTA
2022,2,Feb-22,2022.17,Trolley,SEPTA
2022,3,Mar-22,2022.25,Bus,SEPTA
2022,3,Mar-22,2022.25,CCT,SEPTA
2022,3,Mar-22,2022.25,Heavy Rail,SEPTA
2022,3,Mar-22,2022.25,Regional Rail,SEPTA
2022,3,Mar-22,2022.25,Trackless Trolley,SEPTA
2022,3,Mar-22,2022.25,Trolley,SEPTA
2022,4,Apr-22,2022.33,Bus,SEPTA
2022,4,Apr-22,2022.33,CCT,SEPTA
2022,4,Apr-22,2022.33,Heavy Rail,SEPTA
2022,4,Apr-22,2022.33,Regional Rail,SEPTA
2022,4,Apr-22,2022.33,Trackless Trolley,SEPTA
2022,4,Apr-22,2022.33,Trolley,SEPTA
2022,5,May-22,2022.42,Bus,SEPTA
2022,5,May-22,2022.42,CCT,SEPTA
2022,5,May-22,2022.42,Heavy Rail,SEPTA
2022,5,May-22,2022.42,Regional Rail,SEPTA
2022,5,May-22,2022.42,Trackless Trolley,SEPTA
2022,5,May-22,2022.42,Trolley,SEPTA
2022,6,Jun-22,2022.50,Bus,SEPTA
2022,6,Jun-22,2022.50,CCT,SEPTA
2022,6,Jun-22,2022.50,Heavy Rail,SEPTA
2022,6,Jun-22,2022.50,Regional Rail,SEPTA
2022,6,Jun-22,2022.50,Trackless Trolley,SEPTA
2022,6,Jun-22,2022.50,Trolley,SEPTA
2022,7,Jul-22,2022.58,Bus,SEPTA
2022,7,Jul-22,2022.58,CCT,SEPTA
2022,7,Jul-22,2022.58,Heavy Rail,SEPTA
2022,7,Jul-22,2022.58,Regional Rail,SEPTA
2022,7,Jul-22,2022.58,Trackless Trolley,SEPTA
2022,7,Jul-22,2022.58,Trolley,SEPTA
2022,8,Aug-22,2022.67,Bus,SEPTA
2022,8,Aug-22,2022.67,CCT,SEPTA
2022,8,Aug-22,2022.67,Heavy Rail,SEPTA
2022,8,Aug-22,2022.67,Regional Rail,SEPTA
2022,8,Aug-22,2022.67,Trackless Trolley,SEPTA
2022,8,Aug-22,2022.67,Trolley,SEPTA
2022,9,Sep-22,2022.75,Bus,SEPTA
2022,9,Sep-22,2022.75,CCT,SEPTA
2022,9,Sep-22,2022.75,Heavy Rail,SEPTA
2022,9,Sep-22,2022.75,Regional Rail,SEPTA
2022,9,Sep-22,2022.75,Trackless Trolley,SEPTA
2022,9,Sep-22,2022.75,Trolley,SEPTA
2022,10,Oct-22,2022.83,Bus,SEPTA
2022,10,Oct-22,2022.83,CCT,SEPTA
2022,10,Oct-22,2022.83,Heavy Rail,SEPTA
2022,10,Oct-22,2022.83,Regional Rail,SEPTA
2022,10,Oct-22,2022.83,Trackless Trolley,SEPTA
2022,10,Oct-22,2022.83,Trolley,SEPTA
2022,11,Nov-22,2022.92,Bus,SEPTA
2022,11,Nov-22,2022.92,CCT,SEPTA
2022,11,Nov-22,2022.92,Heavy Rail,SEPTA
2022,11,Nov-22,2022.92,Regional Rail,SEPTA
2022,11,Nov-22,2022.92,Trackless Trolley,SEPTA
2022,11,Nov-22,2022.92,Trolley,SEPTA
2022,12,Dec-22,2023.00,Bus,SEPTA
2022,12,Dec-22,2023.00,CCT,SEPTA
2022,12,Dec-22,2023.00,Heavy Rail,SEPTA
2022,12,Dec-22,2023.00,Regional Rail,SEPTA
2022,12,Dec-22,2023.00,Trackless Trolley,SEPTA
2022,12,Dec-22,2023.00,Trolley,SEPTA
2023,1,Jan-23,2023.08,Bus,SEPTA
2023,1,Jan-23,2023.08,CCT,SEPTA
2023,1,Jan-23,2023.08,Heavy Rail,SEPTA
2023,1,Jan-23,2023.08,Regional Rail,SEPTA
2023,1,Jan-23,2023.08,Trackless Trolley,SEPTA
2023,1,Jan-23,2023.08,Trolley,SEPTA
2023,2,Feb-23,2023.17,Bus,SEPTA
2023,2,Feb-23,2023.17,CCT,SEPTA
2023,2,Feb-23,2023.17,Heavy Rail,SEPTA
2023,2,Feb-23,2023.17,Regional Rail,SEPTA
2023,2,Feb-23,2023.17,Trackless Trolley,SEPTA
2023,2,Feb-23,2023.17,Trolley,SEPTA
2023,3,Mar-23,2023.25,Bus,SEPTA
2023,3,Mar-23,2023.25,CCT,SEPTA
2023,3,Mar-23,2023.25,Heavy Rail,SEPTA
2023,3,Mar-23,2023.25,Regional Rail,SEPTA
2023,3,Mar-23,2023.25,Trackless Trolley,SEPTA
2023,3,Mar-23,2023.25,Trolley,SEPTA
2023,4,Apr-23,2023.33,Bus,SEPTA
2023,4,Apr-23,2023.33,CCT,SEPTA
2023,4,Apr-23,2023.33,Heavy Rail,SEPTA
2023,4,Apr-23,2023.33,Regional Rail,SEPTA
2023,4,Apr-23,2023.33,Trackless Trolley,SEPTA
2023,4,Apr-23,2023.33,Trolley,SEPTA
2023,5,May-23,2023.42,Bus,SEPTA
2023,5,May-23,2023.42,CCT,SEPTA
2023,5,May-23,2023.42,Heavy Rail,SEPTA
2023,5,May-23,2023.42,Regional Rail,SEPTA
2023,5,May-23,2023.42,Trackless Trolley,SEPTA
2023,5,May-23,2023.42,Trolley,SEPTA
2023,6,Jun-23,2023.50,Bus,SEPTA
2023,6,Jun-23,2023.50,CCT,SEPTA
2023,6,Jun-23,2023.50,Heavy Rail,SEPTA
2023,6,Jun-23,2023.50,Regional Rail,SEPTA
2023,6,Jun-23,2023.50,Trackless Trolley,SEPTA
2023,6,Jun-23,2023.50,Trolley,SEPTA
2023,7,Jul-23,2023.58,Bus,SEPTA
2023,7,Jul-23,2023.58,CCT,SEPTA
2023,7,Jul-23,2023.58,Heavy Rail,SEPTA
2023,7,Jul-23,2023.58,Regional Rail,SEPTA
2023,7,Jul-23,2023.58,Trackless Trolley,SEPTA
2023,7,Jul-23,2023.58,Trolley,SEPTA
2023,8,Aug-23,2023.67,Bus,SEPTA
2023,8,Aug-23,2023.67,CCT,SEPTA
2023,8,Aug-23,2023.67,Heavy Rail,SEPTA
2023,8,Aug-23,2023.67,Regional Rail,SEPTA
2023,8,Aug-23,2023.67,Trackless Trolley,SEPTA
2023,8,Aug-23,2023.67,Trolley,SEPTA
2023,9,Sep-23,2023.75,Bus,SEPTA
2023,9,Sep-23,2023.75,CCT,SEPTA
2023,9,Sep-23,2023.75,Heavy Rail,SEPTA
2023,9,Sep-23,2023.75,Regional Rail,SEPTA
2023,9,Sep-23,2023.75,Trackless Trolley,SEPTA
2023,9,Sep-23,2023.75,Trolley,SEPTA
2023,10,Oct-23,2023.83,Bus,SEPTA
2023,10,Oct-23,2023.83,CCT,SEPTA
2023,10,Oct-23,2023.83,Heavy Rail,SEPTA
2023,10,Oct-23,2023.83,Regional Rail,SEPTA
2023,10,Oct-23,2023.83,Trackless Trolley,SEPTA
2023,10,Oct-23,2023.83,Trolley,SEPTA
2023,11,Nov-23,2023.92,Bus,SEPTA
2023,11,Nov-23,2023.92,CCT,SEPTA
2023,11,Nov-23,2023.92,Heavy Rail,SEPTA
2023,11,Nov-23,2023.92,Regional Rail,SEPTA
2023,11,Nov-23,2023.92,Trackless Trolley,SEPTA
2023,11,Nov-23,2023.92,Trolley,SEPTA
2023,12,Dec-23,2024.00,Bus,SEPTA
2023,12,Dec-23,2024.00,CCT,SEPTA
